@RELATION BothInningResults

@attribute 'InningId' numeric
@attribute 'BoundaryRuns Presentage' numeric
@attribute 'avgMeanRunsInBattingSegment' numeric
@attribute 'avgPressureFactor' numeric
@attribute 'averageRunsInBattingSegment' numeric
@attribute 'dotBowlPresentage' numeric
@attribute 'dotBowlToRunsRatio' numeric
@attribute 'FirstBatOrSecondBat' {1,2}
@attribute 'fourHitting Frequency' numeric
@attribute 'matchId' numeric
@attribute 'numberOfBattingSegment' numeric
@attribute 'numberOfWicketsLost' numeric
@attribute 'sixHittingFrequency' numeric
@attribute 'Class' {win,loss}

@data
109,35.374149659863946,2.2203389830508473,0.9152542372881356,2.2203389830508473,34.12698412698413,0.2925170068027211,1,10.317460317460318,55,59,8,2.380952380952381,loss
110,43.24324324324324,2.6862745098039214,0.9215686274509803,2.6862745098039214,37.096774193548384,0.3108108108108108,2,12.903225806451612,55,51,3,2.4193548387096775,win
111,39.583333333333336,3.6862745098039214,1.2745098039215685,3.6862745098039214,37.39837398373984,0.23958333333333334,1,15.447154471544716,56,51,9,8.130081300813009,win
112,41.37931034482759,1.6326530612244898,0.6122448979591837,1.6326530612244898,49,0.5632183908045977,2,9,56,49,10,1,loss
113,39.285714285714285,2.297872340425532,0.7021276595744681,2.297872340425532,50.81967213114754,0.5535714285714286,1,9.01639344262295,57,47,8,1.639344262295082,loss
114,44.827586206896555,2.5454545454545454,1.0227272727272727,2.5454545454545454,39.784946236559136,0.31896551724137934,2,13.978494623655914,57,44,1,4.301075268817204,win
115,22.085889570552148,2.8363636363636364,1.0909090909090908,2.8363636363636364,29.838709677419356,0.22699386503067484,1,7.258064516129032,58,55,5,5.645161290322581,loss
116,29.26829268292683,2.3076923076923075,1.0307692307692307,2.3076923076923075,34.12698412698413,0.2621951219512195,2,9.523809523809524,58,65,7,3.9682539682539684,win
117,45.11278195488722,2.263157894736842,0.8070175438596491,2.263157894736842,45.08196721311475,0.41353383458646614,1,12.295081967213115,59,57,8,1.639344262295082,win
118,6.896551724137931,1.1666666666666667,0.35714285714285715,1.1666666666666667,59.5959595959596,1.0172413793103448,2,1.0101010101010102,59,42,10,2.0202020202020203,loss
119,19.23076923076923,2.742857142857143,0.9428571428571428,2.742857142857143,36.8421052631579,0.2692307692307692,1,6.578947368421052,60,35,7,9.210526315789474,loss
120,41.37931034482759,3.7857142857142856,1.4285714285714286,3.7857142857142856,28.125,0.15517241379310345,2,18.75,60,14,0,9.375,win
121,27.722772277227723,1.6842105263157894,0.6842105263157895,1.6842105263157894,55.46218487394958,0.6534653465346535,1,5.882352941176471,61,57,10,3.361344537815126,loss
122,42.30769230769231,2.914285714285714,1.0285714285714285,2.914285714285714,45,0.34615384615384615,2,13.75,61,35,2,5,win
123,33.5195530726257,2.634920634920635,1.1428571428571428,2.634920634920635,27.419354838709676,0.18994413407821228,1,12.096774193548388,62,63,5,4.838709677419355,win
124,41.37931034482759,2.05,0.7,2.05,50,0.5517241379310345,2,9.375,62,40,10,1.0416666666666667,loss
125,37.9746835443038,2.8076923076923075,0.9230769230769231,2.8076923076923075,36.22047244094488,0.2911392405063291,1,11.811023622047244,63,52,6,3.1496062992125986,loss
126,15.189873417721518,3.409090909090909,1.0454545454545454,3.409090909090909,43.333333333333336,0.3291139240506329,2,5,63,22,1,10,win
127,19.565217391304348,3.0172413793103448,1.0172413793103448,3.0172413793103448,32.231404958677686,0.21195652173913043,1,7.43801652892562,64,58,6,9.917355371900827,win
128,42.5,2.7818181818181817,1.0363636363636364,2.7818181818181817,38.095238095238095,0.3,2,13.492063492063492,64,55,8,3.1746031746031744,loss
129,33.86243386243386,3.76,1.22,3.76,28.925619834710744,0.18518518518518517,1,13.223140495867769,65,50,5,6.6115702479338845,win
130,31.11111111111111,2.426470588235294,0.9705882352941176,2.426470588235294,24.8,0.17222222222222222,2,11.2,65,68,9,4,loss
131,38.095238095238095,2.909090909090909,1.0363636363636364,2.909090909090909,37.39837398373984,0.27380952380952384,1,13.008130081300813,66,55,9,4.065040650406504,loss
132,23.121387283236995,2.5396825396825395,1.0952380952380953,2.5396825396825395,19.327731092436974,0.1329479768786127,2,8.403361344537815,66,63,3,5.882352941176471,win
133,28.571428571428573,2.5245901639344264,1,2.5245901639344264,31.2,0.23214285714285715,1,9.6,67,61,9,5.6,win
134,25.641025641025642,2.4237288135593222,0.847457627118644,2.4237288135593222,33.07086614173228,0.2692307692307692,2,7.874015748031496,67,59,7,5.511811023622047,loss
135,21.476510067114095,2.15625,1.046875,2.15625,35.714285714285715,0.30201342281879195,1,6.349206349206349,68,64,7,3.9682539682539684,loss
136,26.666666666666668,2.7547169811320753,0.9056603773584906,2.7547169811320753,29.166666666666668,0.23333333333333334,2,8.333333333333334,68,53,4,3.3333333333333335,win
137,34.53237410071942,2.210526315789474,0.8070175438596491,2.210526315789474,39.0625,0.3597122302158273,1,9.375,69,57,6,2.34375,win
138,32.142857142857146,1.7894736842105263,0.7368421052631579,1.7894736842105263,41.6,0.4642857142857143,2,7.2,69,57,7,0,loss
139,38.78787878787879,2.507936507936508,1.0317460317460319,2.507936507936508,35.43307086614173,0.2727272727272727,1,12.598425196850394,70,63,6,4.724409448818897,loss
140,30.76923076923077,2.6065573770491803,1.0163934426229508,2.6065573770491803,30.578512396694215,0.21893491124260356,2,10.743801652892563,70,61,4,5.785123966942149,win
141,23.529411764705884,3.7083333333333335,1.3541666666666667,3.7083333333333335,33.87096774193548,0.22459893048128343,1,8.870967741935484,71,48,6,8.064516129032258,win
142,33.68421052631579,1.82,0.84,1.82,42.10526315789474,0.42105263157894735,2,8.421052631578947,71,50,9,2.1052631578947367,loss
143,39.16083916083916,2.225806451612903,0.967741935483871,2.225806451612903,36.0655737704918,0.3076923076923077,1,11.475409836065573,72,62,7,2.459016393442623,loss
144,29.931972789115648,3.066666666666667,1.0888888888888888,3.066666666666667,39.83050847457627,0.3197278911564626,2,9.322033898305085,72,45,5,5.932203389830509,win
145,34.53237410071942,2.1311475409836067,0.8852459016393442,2.1311475409836067,34.959349593495936,0.30935251798561153,1,9.75609756097561,73,61,6,1.6260162601626016,loss
146,33.56643356643357,2.3508771929824563,0.8421052631578947,2.3508771929824563,34.4,0.3006993006993007,2,9.6,73,57,5,2.4,win
147,13.445378151260504,1.5454545454545454,0.6212121212121212,1.5454545454545454,33.333333333333336,0.35294117647058826,1,3.1746031746031744,74,66,8,1.5873015873015872,win
148,24.137931034482758,1.75,0.8,1.75,42.1875,0.46551724137931033,2,5.46875,74,60,7,0.78125,loss
149,35.13513513513514,2.140625,0.859375,2.140625,36.58536585365854,0.30405405405405406,1,10.56910569105691,75,64,9,2.4390243902439024,loss
150,40,2.76,0.98,2.76,37.5,0.3,2,12.5,75,50,4,3.3333333333333335,win
151,36.58536585365854,2.9444444444444446,1.0740740740740742,2.9444444444444446,36.58536585365854,0.27439024390243905,1,12.195121951219512,76,54,5,4.878048780487805,win
152,34.92063492063492,1.710144927536232,0.855072463768116,1.710144927536232,39.166666666666664,0.373015873015873,2,9.166666666666666,76,69,9,1.6666666666666667,loss
153,21.62162162162162,2.25,0.8333333333333334,2.25,33.333333333333336,0.28378378378378377,1,6.349206349206349,77,60,6,4.761904761904762,win
154,28.776978417266186,2.0793650793650795,0.8571428571428571,2.0793650793650795,33.85826771653543,0.30935251798561153,2,7.874015748031496,77,63,6,2.3622047244094486,loss
155,35.86206896551724,2.5272727272727273,0.9636363636363636,2.5272727272727273,41.935483870967744,0.3586206896551724,1,10.483870967741936,78,55,9,4.032258064516129,win
156,32.11678832116788,2.2962962962962963,0.9259259259259259,2.2962962962962963,45.52845528455285,0.40875912408759124,2,8.94308943089431,78,54,7,3.252032520325203,loss
157,31.20567375886525,2.4814814814814814,1,2.4814814814814814,41.12903225806452,0.3617021276595745,1,8.870967741935484,79,54,5,4.032258064516129,loss
158,33.80281690140845,2.5,0.9629629629629629,2.5,40.16393442622951,0.34507042253521125,2,9.836065573770492,79,54,7,4.098360655737705,win
159,36.809815950920246,2.8518518518518516,0.9074074074074074,2.8518518518518516,35.2,0.26993865030674846,1,12,80,54,10,4,win
160,41.37931034482759,2.5357142857142856,0.9464285714285714,2.5357142857142856,42.97520661157025,0.3586206896551724,2,12.396694214876034,80,56,8,3.3057851239669422,loss
161,41.830065359477125,2.607142857142857,1.1607142857142858,2.607142857142857,37.39837398373984,0.3006535947712418,1,13.008130081300813,81,56,3,2.4390243902439024,loss
162,33.76623376623377,2.526315789473684,0.8947368421052632,2.526315789473684,32.53968253968254,0.2662337662337662,2,10.317460317460318,81,57,4,3.1746031746031744,win
163,34.899328859060404,2.86,1.12,2.86,38.52459016393443,0.31543624161073824,1,10.655737704918034,82,50,4,2.459016393442623,loss
164,37.333333333333336,3.641025641025641,1.1794871794871795,3.641025641025641,37.06896551724138,0.2866666666666667,2,12.068965517241379,82,39,1,3.4482758620689653,win
165,31.46067415730337,2.896551724137931,1.0517241379310345,2.896551724137931,28.225806451612904,0.19662921348314608,1,11.290322580645162,83,58,3,5.645161290322581,win
